AccusedId,Qid,year,latitude,longitude
A/EGD/530,Q1009902,1662,55.91,-2.89098
A/EGD/531,Q1009902,1662,55.91,-2.89098
A/EGD/535,Q1011336,1662,55.9447,-2.95417
A/EGD/546,Q1002133,1662,55.99833333,-2.522777778
A/EGD/562,Q182923,1664,56.11944444,-3.935833333
A/EGD/576,Q652035,1671,55.06666667,-3.616666667
A/EGD/577,Q652035,1671,55.06666667,-3.616666667
A/EGD/578,Q1714424,1671,55.5667,-2.4667
A/EGD/580,Q1714424,1671,55.5667,-2.4667
A/EGD/581,Q1018540,1671,55.9801,-3.17005
A/EGD/585,Q652035,1671,55.06666667,-3.616666667
A/EGD/586,Q652035,1671,55.06666667,-3.616666667
A/EGD/590,Q1011387,1671,54.81666667,-4.033333333
A/EGD/591,Q1016323,1671,56.09694444,-4.644722222
A/EGD/593,Q1818828,1662,55.83333333,-5.05
A/EGD/595,Q2424554,1674,56.0554,-3.6293
A/EGD/596,Q2424554,1675,56.0554,-3.6293
A/EGD/597,Q2424554,1675,56.0554,-3.6293
A/EGD/598,Q2424554,1675,56.0554,-3.6293
A/EGD/6,Q34779,1650,55.94861111,-4.547222222
A/EGD/603,Q5940145,1678,55.8544,-2.86735
A/EGD/604,Q5940145,1678,55.8544,-2.86735
A/EGD/611,Q5940145,1678,55.8544,-2.86735
A/EGD/613,Q5940145,1678,55.8544,-2.86735
A/EGD/616,Q1018733,1629,56.5869,-3.16417
A/EGD/618,Q425611,1629,55.7784,-2.3426
A/EGD/645,Q1011507,1629,55.65,-3.18
A/EGD/646,Q1011507,1629,55.65,-3.18
A/EGD/647,Q1011507,1629,55.65,-3.18
A/EGD/648,Q1011507,1629,55.65,-3.18
A/EGD/649,Q1011507,1629,55.65,-3.18
A/EGD/650,Q1011507,1629,55.65,-3.18
A/EGD/651,Q980084,1629,57.58333333,-3.866666667
A/EGD/654,Q980084,1629,57.58333333,-3.866666667
A/EGD/655,Q980084,1629,57.58333333,-3.866666667
A/EGD/663,Q1020260,1629,55.86944444,-2.090555556
A/EGD/664,Q654216,1629,55.46388889,-4.627777778
A/EGD/665,Q654216,1629,55.46388889,-4.627777778
A/EGD/666,Q654216,1629,55.46388889,-4.627777778
A/EGD/667,Q654216,1629,55.46388889,-4.627777778
A/EGD/668,Q1011149,1629,55.886672,-2.156753
A/EGD/669,Q1002124,1629,55.6749,-3.77702
A/EGD/671,Q1010381,1629,55.8021,-2.209
A/EGD/679,Q5940145,1678,55.8544,-2.86735
A/EGD/68,Q7242055,1591,55.9597,-2.961
A/EGD/680,Q727520,1678,55.86666667,-3.066666667
A/EGD/681,Q727520,1678,55.86666667,-3.066666667
A/EGD/682,Q727520,1678,55.86666667,-3.066666667
A/EGD/688,Q1010543,1679,56.042,-4.368
A/EGD/689,Q896424,1679,56.01681111,-3.608911111
A/EGD/690,Q896424,1680,56.01681111,-3.608911111
A/EGD/691,Q896424,1678,56.01681111,-3.608911111
A/EGD/692,Q896424,1679,56.01681111,-3.608911111
A/EGD/693,Q896424,1679,56.01681111,-3.608911111
A/EGD/694,Q896424,1679,56.01681111,-3.608911111
A/EGD/696,Q1016169,1683,55.79388889,-4.863611111
A/EGD/698,Q654216,1683,55.46388889,-4.627777778
A/EGD/699,Q654216,1683,55.46388889,-4.627777778
A/EGD/7,Q34779,1650,55.94861111,-4.547222222
A/EGD/700,Q1020265,1683,55.41666667,-4.383333333
A/EGD/701,Q1020265,1683,55.41666667,-4.383333333
A/EGD/702,Q1020265,1683,55.41666667,-4.383333333
A/EGD/712,Q652035,1683,55.06666667,-3.616666667
A/EGD/715,Q615693,1699,55.86666667,-4.366666667
A/EGD/718,Q615693,1699,55.86666667,-4.366666667
A/EGD/720,Q615693,1699,55.86666667,-4.366666667
A/EGD/722,Q615693,1697,55.86666667,-4.366666667
